period	IMR/M11	IMR/M12	IMR/M07	IMR/M08	IMR/M13	IMR/M09	IMR/M10
1	2.0079         	2.40955        	10.3853        	27.1739        	16.3922        	5.50534        	3.8138         
2	2.47926        	2.90299        	12.2045        	30.666         	20.1762        	6.8332         	4.73422        
3	1.8046         	2.04666        	8.55468        	21.9018        	15.7108        	5.1637         	3.53552        
4	2.39639        	3.28121        	15.3962        	43.484         	16.3414        	5.77865        	4.14994        
5	2.16809        	3.09126        	14.9813        	43.7836        	14.3324        	5.09364        	3.68075        
6	2.41866        	3.07039        	13.5939        	35.7737        	17.693         	6.16468        	4.36568        
7	2.34526        	3.95611        	21.5055        	55.9634        	12.4039        	4.70678        	3.55632        
8	2.28312        	2.7859         	12.1749        	32.6836        	18.2624        	6.16133        	4.28648        
9	2.12644        	2.42631        	10.1212        	25.4594        	18.5167        	6.10999        	4.17798        
10	2.11415        	2.64645        	11.8427        	33.2531        	16.1324        	5.50037        	3.86834        
11	2.04112        	2.72141        	12.6571        	36.4734        	14.8006        	5.11492        	3.62974        
12	2.1255         	2.68553        	12.0282        	33.2007        	16.3626        	5.56945        	3.9055         
13	1.90746        	2.42879        	11.007         	31.314         	14.2957        	4.89233        	3.45406        
14	1.90877        	2.49576        	11.4288        	32.0373        	14.1125        	4.85327        	3.43138        
15	2.20757        	3.02772        	14.289         	40.878         	15.1904        	5.33963        	3.82964        
16	2.52732        	3.44874        	16.2999        	48.3484        	18.7967        	6.42992        	4.53067        
17	2.27597        	3.40655        	17.023         	48.8419        	14.0728        	5.098          	3.73396        
18	2.29435        	2.32722        	8.9311         	19.9365        	22.8778        	7.32269        	4.86666        
19	2.55265        	3.25913        	14.6535        	40.334         	19.0091        	6.54764        	4.62305        
20	2.01568        	2.11861        	8.36568        	19.4496        	19.5922        	6.27588        	4.19648        
21	1.98167        	2.39054        	10.23          	25.6899        	15.5125        	5.2961         	3.7021         
22	2.09884        	2.58387        	11.2822        	29.4891        	16.2609        	5.54652        	3.88598        
23	2.03201        	2.54862        	11.2869        	30.0539        	15.4809        	5.2978         	3.72434        
24	2.0676         	2.73229        	12.5574        	34.8166        	14.8316        	5.15326        	3.66682        
25	2.12074        	2.61252        	11.4232        	29.953         	16.4479        	5.60632        	3.92702        
