period	IMR/M11	IMR/M12	IMR/M07	IMR/M08	IMR/M13	IMR/M09	IMR/M10	
1	455.871	13.298	 9.502	 4.726	20.112	21.555	32.952
2	403.074	10.418	 7.901	 4.007	17.770	19.640	31.341
3	259.272	 8.293	 6.735	 3.574	17.469	21.186	35.210
4	402.776	13.988	 9.275	 4.521	18.486	19.107	28.650
5	448.988	12.545	 8.950	 4.509	19.724	21.379	32.959
6	324.561	10.526	 8.272	 4.278	19.813	21.804	35.269
7	231.892	12.615	 7.882	 3.742	14.569	14.499	21.002
8	285.173	13.370	 8.375	 3.974	15.403	15.394	22.243
9	380.372	10.836	 7.741	 3.848	16.400	17.573	26.877
10	465.578	12.972	 9.254	 4.662	20.396	22.107	34.084
11	392.670	10.043	 7.616	 3.861	17.136	18.937	30.228
12	325.845	11.847	 8.542	 4.277	18.533	20.215	30.729
13	246.356	 9.038	 6.455	 3.209	13.738	14.670	22.537
14	221.157	 8.796	 6.181	 3.033	12.641	13.320	19.421
15	293.103	 9.414	 7.396	 3.825	17.730	19.509	31.574
16	238.462	14.629	 8.739	 4.063	15.121	14.908	21.330
17	254.385	15.646	 9.347	 4.346	16.171	15.944	22.812
18	365.962	12.457	 8.257	 4.024	16.472	17.020	25.532
19	356.513	14.151	 9.437	 4.538	18.073	18.381	27.892
20	347.377	14.010	 9.297	 4.441	17.448	17.892	26.556
21	269.031	10.268	 7.272	 3.592	15.168	15.843	25.109
22	229.917	10.832	 7.211	 3.468	13.882	14.061	21.409
23	272.181	14.140	 8.826	 4.160	15.908	16.023	22.632
24	164.612	18.561	10.191	 4.547	15.575	14.576	19.484
25	338.234	15.935	 9.983	 4.738	18.356	18.347	26.506
