period	IMR/M11	IMR/M12	IMR/M07	IMR/M08	IMR/M13	IMR/M09	IMR/M10	
1	13.858	 5.210	11.411	12.260	369.252	267.013	83.530
2	13.388	77.642	396.398	59.274	29.784	13.878	12.281
3	17.454	 5.848	12.008	12.188	300.330	374.892	125.626
4	15.435	 6.504	15.187	17.626	539.303	217.768	78.160
5	15.865	 6.686	15.611	18.118	552.216	223.509	80.313
6	12.314	 5.703	14.106	17.536	549.238	139.319	55.926
7	 8.790	 5.227	15.158	23.081	402.240	60.348	30.965
8	 8.366	 4.673	13.016	18.344	423.219	66.690	31.663
9	 9.386	 5.083	13.871	19.491	476.927	80.579	37.897
10	 8.310	 5.178	15.317	24.806	365.440	53.562	28.598
11	 7.011	 4.952	15.949	28.360	246.711	38.699	21.058
12	 6.917	 4.963	16.291	30.315	245.524	37.629	20.910
13	 6.238	 4.336	14.105	24.769	224.143	34.254	19.170
14	 7.884	 5.932	19.948	37.844	224.625	39.960	22.834
15	13.868	 7.756	21.550	30.324	628.554	109.135	52.226
16	11.701	 6.747	19.152	28.047	539.510	86.062	43.992
17	11.750	 6.567	18.270	25.730	563.624	93.094	44.365
18	 8.771	 5.639	16.954	28.595	360.026	56.377	29.886
19	 9.646	 7.259	24.390	46.223	269.722	48.809	27.913
20	 9.227	 6.518	20.976	37.265	316.345	50.824	27.686
21	 8.374	 5.642	17.602	30.445	321.127	49.422	26.078
22	 9.028	 5.896	18.138	30.070	371.979	53.515	28.457
23	 7.147	 5.292	17.517	34.171	230.821	36.078	21.236
24	 7.242	 4.956	15.797	26.892	284.758	43.102	22.100
25	 7.616	 5.051	15.898	25.582	324.305	45.568	24.205
