period	IMR/M11	IMR/M12	IMR/M07	IMR/M08	IMR/M13	IMR/M09	IMR/M10
1	5.75561        	2.23776        	4.75272        	5.23224        	67.7621        	58.883         	28.828         
2	5.73462        	28.8411        	110.187        	24.0258        	12.0411        	5.93773        	5.27051        
3	7.3832         	2.70117        	5.84572        	7.93843        	65.9624        	80.3448        	40.2775        
4	6.49969        	2.82861        	6.37934        	7.50614        	105.064        	61.254         	29.79          
5	6.82031        	2.97616        	6.70183        	7.91474        	110.564        	64.6528        	31.2201        
6	5.06225        	2.37784        	5.80025        	7.41701        	87.1985        	42.7           	21.6576        
7	4.00806        	2.45634        	7.20022        	12.262         	82.8738        	27.1016        	14.0597        
8	3.76909        	2.16055        	5.90965        	8.89841        	85.5522        	26.3987        	13.7053        
9	4.28861        	2.38855        	6.48169        	9.67817        	101.28         	31.7956        	16.1772        
10	3.75577        	2.39981        	7.03634        	11.6955        	81.8503        	22.6992        	12.3629        
11	3.09118        	2.23343        	7.06097        	13.0147        	55.6816        	15.752         	9.06599        
12	3.0366         	2.22511        	7.04732        	12.6582        	51.5408        	14.884         	8.69803        
13	2.73448        	1.93317        	5.91602        	10.0833        	45.3744        	13.4855        	7.88702        
14	3.50741        	2.69518        	8.83613        	17.4063        	56.732         	16.4354        	9.70697        
15	6.1493         	3.49862        	9.49212        	14.1716        	115.926        	41.7679        	22.1538        
16	5.13382        	3.03238        	8.266          	12.2813        	99.3672        	32.3361        	18.0227        
17	5.16881        	2.96104        	7.95262        	11.6275        	116.41         	35.2095        	18.5584        
18	3.93466        	2.59098        	7.72301        	12.8489        	76.5414        	22.2484        	12.4262        
19	4.11023        	3.16486        	10.3385        	19.5086        	66.8045        	19.1993        	11.4222        
20	4.03492        	2.90264        	8.9636         	15.6477        	69.9602        	19.6219        	11.5043        
21	3.78493        	2.60862        	7.97908        	13.7803        	77.2024        	20.344         	11.5174        
22	4.001          	2.67562        	8.02105        	13.6755        	76.055         	22.2165        	12.4811        
23	3.04228        	2.29367        	7.35718        	13.3657        	47.7648        	14.1559        	8.41716        
24	2.96295        	2.06095        	6.21349        	10.1767        	49.2941        	14.7208        	8.61026        
25	3.0916         	2.08848        	6.19157        	9.98114        	53.0212        	15.9979        	9.24898        
