period	IMR/M11	IMR/M12	IMR/M07	IMR/M08	IMR/M13	IMR/M09	IMR/M10
1	183.036        	5.14469        	4.26071        	2.27075        	11.6003        	14.7986        	25.847         
2	223.071        	5.99238        	4.60462        	2.41241        	11.6399        	14.3198        	24.6235        
3	90.1811        	3.84354        	3.59207        	2.0699         	12.0837        	17.2783        	33.6184        
4	141.671        	4.30859        	3.67081        	2.01796        	10.6978        	14.1649        	25.658         
5	223.522        	4.98218        	3.77276        	1.97815        	9.64498        	12.3723        	20.9591        
6	124.037        	4.13525        	3.50641        	1.93776        	10.4545        	14.1804        	25.1478        
7	188.586        	4.40078        	3.49929        	1.8597         	9.19811        	11.5552        	19.2711        
8	216.892        	4.91101        	4.08852        	2.18741        	10.7956        	12.9364        	21.2549        
9	208.734        	5.81656        	4.32497        	2.2678         	11.6037        	14.6417        	24.5088        
10	141.503        	4.66722        	3.9281         	2.1517         	11.5758        	15.8062        	29.3384        
11	183.962        	7.86845        	4.82537        	2.30572        	10.1902        	11.3585        	18.9399        
12	124.302        	9.45392        	5.09965        	2.26645        	8.22082        	8.54158        	12.8242        
13	183.125        	9.22511        	4.83325        	2.24593        	8.79804        	9.5828         	14.8035        
14	132.931        	11.057         	5.38693        	2.43059        	8.40416        	9.32299        	13.1467        
15	81.347         	9.35698        	4.78544        	2.09174        	6.97327        	6.65586        	9.27958        
16	59.9983        	12.5191        	5.70665        	2.38309        	7.27373        	6.58325        	8.78753        
17	85.6865        	8.07386        	4.34351        	1.92448        	6.56647        	6.3801         	8.91846        
18	61.452         	11.4825        	5.14476        	2.13759        	6.4611         	6.14869        	8.28108        
19	74.1974        	10.3959        	5.29279        	2.30043        	7.52119        	6.91139        	9.34808        
20	224.632        	7.29781        	4.4843         	2.14496        	8.6521         	10.2461        	15.25          
21	226.306        	6.21828        	3.97364        	1.94658        	8.34613        	10.5037        	16.2641        
22	166.705        	8.6206         	4.86101        	2.26946        	8.60562        	9.42563        	14.1259        
23	136.281        	9.90126        	5.35421        	2.45635        	9.2075         	9.26903        	14.2638        
24	155.826        	6.5322         	3.96864        	1.85544        	7.03901        	7.23902        	10.565         
25	186.826        	9.10152        	5.369          	2.44882        	8.98999        	9.01793        	13.0415        
