period	IMR/M11	IMR/M12	IMR/M07	IMR/M08	IMR/M13	IMR/M09	IMR/M10
1	30.519         	3.94168        	2.43594        	1.15938        	3.96547        	3.91961        	5.40223        
2	33.7361        	3.43099        	2.247          	1.09686        	3.95179        	4.04222        	5.6975         
3	48.902         	3.3304         	2.16869        	1.07411        	4.1945         	5.01944        	7.68848        
4	24.4125        	3.79706        	2.23717        	1.04277        	3.4312         	3.31367        	4.49939        
5	35.4534        	2.93204        	2.02983        	1.01574        	3.85427        	4.0851         	5.89342        
6	41.3618        	3.81726        	2.57899        	1.27678        	4.71568        	4.89748        	6.9714         
7	45.2981        	3.34658        	2.3845         	1.21202        	4.76726        	5.25114        	7.74421        
8	36.2765        	3.69925        	2.42575        	1.18484        	4.26866        	4.36165        	6.1439         
9	40.2815        	3.36054        	2.33195        	1.16829        	4.42984        	4.68608        	6.75212        
10	43.0175        	3.93206        	2.42744        	1.16266        	4.17557        	4.60418        	6.73535        
11	31.297         	4.03049        	2.49158        	1.18581        	4.05886        	4.0099         	5.52643        
12	23.7796        	4.22694        	2.41655        	1.11217        	3.56602        	3.38525        	4.54619        
13	28.082         	4.0995         	2.45722        	1.15394        	3.8488         	3.74159        	5.103          
14	29.9629        	3.61066        	2.26214        	1.08263        	3.7553         	3.7453         	5.19415        
15	17.9712        	5.5589         	2.79147        	1.21847        	3.51087        	3.1273         	4.0297         
16	15.3134        	6.28204        	2.94327        	1.25002        	3.41022        	2.94655        	3.7229         
17	13.5238        	7.37669        	3.21796        	1.32973        	3.43254        	2.87763        	3.56575        
18	12.0047        	7.55107        	3.17106        	1.2912         	3.23952        	2.67734        	3.28776        
19	23.2734        	6.53782        	2.94495        	1.22103        	3.27884        	3.26142        	4.47988        
20	16.7551        	6.40066        	3.05334        	1.30616        	3.61559        	3.14536        	3.99215        
21	10.0594        	11.2582        	4.0536         	1.56057        	3.49372        	2.72352        	3.22117        
22	13.9977        	8.8123         	3.71081        	1.51382        	3.80416        	3.13899        	3.84973        
23	13.3799        	6.31807        	2.85273        	1.19374        	3.16766        	2.69757        	3.37756        
24	9.66024        	12.4992        	4.3209         	1.63961        	3.56552        	2.74006        	3.21138        
25	7.13034        	11.4989        	3.71693        	1.37541        	2.84964        	2.14835        	2.48902        
